index_seg,ugr
1001,2.0
1002,2.0
1003,2.5333333333333337
1004,2.8333333333333335
101,3.0000000000000004
10393,4.0
10394,3.0000000000000004
10403,3.0
10448,3.5454545454545454
10449,5.0
10454,2.0
10595,3.1428571428571432
11287,4.0
11288,4.0
11289,4.0
11484,2.75
11485,3.0
11886,3.0000000000000004
11960,2.8000000000000003
1204,4.0
12047,1.5
12064,4.0
12065,3.0
12261,4.0
12263,4.0
12264,4.0
12265,4.0
12565,1.0
12566,1.0
12567,1.5555555555555554
12568,2.0
1261,2.5
127,4.0
128,3.4285714285714293
12849,3.0000000000000004
12898,3.8
12942,1.0
134,3.0
13447,4.0
13449,4.6
13477,4.0
136,3.4999999999999996
137,3.5
140,4.0
1531,3.6666666666666665
1532,3.666666666666667
1533,3.3333333333333335
180,3.0
181,2.9999999999999996
182,3.0000000000000004
183,3.0000000000000004
2177,3.0000000000000004
2254,3.0
2260,4.0
251,3.0
252,1.0
258,3.0000000000000004
2635,2.0
2636,2.0
2641,2.666666666666667
2650,2.0
2652,1.5000000000000002
2656,2.9999999999999996
2657,3.0
2658,3.0
2671,2.9999999999999996
2672,3.0
2674,2.5
2675,2.5
2676,4.0
2685,2.5454545454545454
269,4.0
2733,3.0
3149,3.0
3150,3.0000000000000004
330,3.0
331,2.9999999999999996
332,3.0
3380,3.777777777777778
3381,3.0
3383,2.5
3387,3.2272727272727275
3388,3.4736842105263164
3389,3.0000000000000004
362,3.111111111111111
3717,2.0
3719,3.0
3720,2.0
3721,2.0
3945,4.0
3946,3.0
3947,4.0
4012,1.714285714285714
4014,2.3333333333333335
4222,3.0
4271,3.0
4273,3.0000000000000004
4385,4.0
4387,3.0000000000000004
4418,4.0
4429,4.0
4430,4.0
4432,4.0
4481,3.333333333333333
4569,4.3076923076923075
4570,4.333333333333333
4789,3.6111111111111116
4790,4.0
4811,3.0000000000000004
4812,3.1818181818181817
4871,3.5
4872,3.5
4874,3.8
4998,2.5
513,3.333333333333333
5203,3.0000000000000004
5207,4.5
5208,3.5999999999999996
5209,4.5
5210,4.266666666666667
5284,4.0
5285,4.0
5286,4.714285714285714
5287,2.9999999999999996
5288,4.0
5340,3.0
5367,2.3913043478260874
5452,4.0
5457,4.0
5458,3.0
5501,4.0
5616,3.0000000000000004
5617,3.0000000000000004
5669,4.0
5670,4.0
5671,4.0
5673,3.3333333333333335
574,3.0
5748,3.0000000000000004
5749,3.333333333333333
5750,3.3
5756,2.5
5757,3.0
578,2.4545454545454546
579,3.7272727272727266
580,4.0
581,4.222222222222222
582,5.0
5821,2.0
583,4.5
6000,2.1999999999999997
6001,2.0
613,3.5
617,3.0000000000000004
6214,1.0
6215,3.0000000000000004
6216,2.181818181818182
6217,3.6
6218,4.0
6332,2.9999999999999996
6333,4.0
6340,3.0000000000000004
648,3.4999999999999996
649,2.0
651,2.5
652,4.0
658,3.0000000000000004
659,3.5000000000000004
662,3.0
663,3.0
664,3.0000000000000004
665,4.0
666,4.0
672,2.0
673,2.0
675,2.333333333333333
676,2.3333333333333335
677,3.0606060606060606
681,2.0
6939,3.153846153846154
6941,3.0000000000000004
6942,3.5714285714285716
6943,4.0
6944,4.0
6945,3.0000000000000004
7010,3.6470588235294112
7016,5.0
725,3.0000000000000004
726,2.7500000000000004
7313,3.0000000000000004
7316,2.5
7317,4.2727272727272725
7318,4.5
7322,4.0
737,3.0
7593,3.0
7594,2.909090909090909
7646,2.0
7647,2.6874999999999996
7683,3.0
7727,4.0
7728,3.0000000000000004
7729,3.0
776,4.0
777,4.0
7773,4.0
7774,3.777777777777778
7775,3.0
778,4.0
779,4.0
7878,2.9999999999999996
7879,3.260869565217391
7880,3.2380952380952377
7881,2.5833333333333335
7882,3.0
7883,3.0
808,2.9999999999999996
809,2.4000000000000004
8226,4.0
8258,4.0
8259,5.0
8260,4.181818181818181
8288,4.0
8289,4.0
8290,4.0
8310,4.454545454545454
8311,5.0
8345,4.0
8346,3.5
8347,3.0
8348,4.0
8349,4.0
8458,3.428571428571429
893,2.9999999999999996
894,3.0
8952,2.5
8953,3.0
8955,3.0000000000000004
9297,1.0
9298,1.0
9299,2.25
9300,1.7272727272727273
9301,1.0
9306,1.0
9474,3.0000000000000004
9475,3.0
9476,3.0
9603,1.5
9605,2.9999999999999996
9606,3.0000000000000004
969,1.0
97,3.3333333333333335
970,2.058823529411765
971,2.5
972,3.0625
973,4.0
974,4.0
975,2.5
9750,4.0
9751,2.6666666666666665
976,2.7727272727272725
9768,3.0
977,2.5
98,3.0
9822,1.0
9855,3.5
9856,4.0
9857,3.0
9858,3.5
9859,2.8636363636363638
9860,3.3571428571428577
9861,4.5
9873,3.0000000000000004
9874,3.0
9875,3.0
9881,2.0
9882,1.3333333333333335
